
Date,	Cases(confirmed plus probable),	New cases	Confirmed, cases,	Probable Cases
March 7, 2021	3,501,394	3,816	3,501,394	N/A
March 6, 2021	3,497,578	4,452	3,497,578	N/A
March 5, 2021	3,493,126	4,659	3,493,126	N/A
March 4, 2021	3,488,467	3,504	3,488,467	N/A
March 3, 2021	3,484,963	3,352	3,484,963	N/A
March 2, 2021	3,481,611	2,533	3,481,611	N/A
March 1, 2021	3,479,078	3,516	3,479,078	N/A
February 28, 2021	3,475,562	4,685	3,475,562	N/A
February 27, 2021	3,470,877	5,151	3,470,877	N/A
February 26, 2021	3,465,726	5,400	3,465,726	N/A
February 25, 2021	3,460,326	4,965	3,460,326	N/A
February 24, 2021	3,455,361	5,303	3,455,361	N/A
February 23, 2021	3,450,058	3,447	3,450,058	N/A
February 22, 2021	3,446,611	4,665	3,446,611	N/A
February 21, 2021	3,441,946	6,760	3,441,946	N/A
February 20, 2021	3,435,186	6,668	3,435,186	N/A
February 19, 2021	3,428,518	6,798	3,428,518	N/A
February 18, 2021	3,421,720	5,573	3,421,720	N/A
February 17, 2021	3,416,147	4,090	3,416,147	N/A
February 16, 2021	3,412,057	5,692	3,412,057	N/A
February 15, 2021	3,406,365	6,487	3,406,365	N/A
February 14, 2021	3,399,878	8,842	3,399,878	N/A
February 13, 2021	3,391,036	9,421	3,391,036	N/A
February 12, 2021	3,381,615	10,059	3,381,615	N/A
February 11, 2021	3,371,556	8,575	3,371,556	N/A
February 10, 2021	3,362,981	8,390	3,362,981	N/A
February 9, 2021	3,354,591	8,251	3,354,591	N/A
February 8, 2021	3,346,340	10,414	3,346,340	N/A
February 7, 2021	3,335,926	15,064	3,335,926	N/A
February 6, 2021	3,320,862	12,394	3,320,862	N/A
February 5, 2021	3,308,468	14,021	3,308,468	N/A
February 4, 2021	3,294,447	13,176	3,294,447	N/A
February 3, 2021	3,281,271	10,501	3,281,271	N/A
February 2, 2021	3,270,770	12,064	3,270,770	N/A
February 1, 2021	3,258,706	15,358	3,258,706	N/A
January 31, 2021	3,243,348	18,974	3,243,348	N/A
January 30, 2021	3,224,374	18,427	3,224,374	N/A
January 29, 2021	3,205,947	19,337	3,205,947	N/A
January 28, 2021	3,186,610	16,696	3,186,610	N/A
January 27, 2021	3,169,914	16,728	3,169,914	N/A
January 26, 2021	3,153,186	17,028	3,153,186	N/A
January 25, 2021	3,136,158	27,007	3,136,158	N/A
January 24, 2021	3,109,151	24,111	3,109,151	N/A
January 23, 2021	3,085,040	22,972	3,085,040	N/A
January 22, 2021	3,062,068	23,024	3,062,068	N/A
January 21, 2021	3,039,044	19,673	3,039,044	N/A
January 20, 2021	3,019,371	22,403	3,019,371	N/A
January 19, 2021	2,996,968	23,794	2,996,968	N/A
January 18, 2021	2,973,174	30,699	2,973,174	N/A
January 17, 2021	2,942,475	42,229	2,942,475	N/A
January 16, 2021	2,900,246	40,622	2,900,246	N/A
January 15, 2021	2,859,624	42,655	2,859,624	N/A
January 14, 2021	2,816,969	35,930	2,816,969	N/A
January 13, 2021	2,781,039	33,751	2,781,039	N/A
January 12, 2021	2,747,288	36,487	2,747,288	N/A
January 11, 2021	2,710,801	39,839	2,710,801	N/A
January 10, 2021	2,670,962	49,685	2,670,962	N/A
January 9, 2021	2,621,277	52,636	2,621,277	N/A
January 8, 2021	2,568,641	50,030	2,568,641	N/A
January 7, 2021	2,518,611	36,385	2,518,611	N/A
January 6, 2021	2,482,226	29,892	2,482,226	N/A
January 5, 2021	2,452,334	31,440	2,452,334	N/A
January 4, 2021	2,420,894	29,633	2,420,894	N/A
January 3, 2021	2,391,261	45,352	2,391,261	N/A
