
Date,	Cases(confirmed plus probable),	New cases	Confirmed, cases,	Probable Cases
March 7, 2021	1,681,169	6,789	N/A	N/A
March 6, 2021	1,674,380	7,647	N/A	N/A
March 5, 2021	1,666,733	8,956	N/A	N/A
March 4, 2021	1,657,777	7,593	N/A	N/A
March 3, 2021	1,650,184	7,704	N/A	N/A
March 2, 2021	1,642,480	5,800	N/A	N/A
March 1, 2021	1,636,680	6,235	N/A	N/A
February 28, 2021	1,630,445	7,580	N/A	N/A
February 27, 2021	1,622,865	8,141	N/A	N/A
February 26, 2021	1,614,724	8,204	N/A	N/A
February 25, 2021	1,606,520	8,746	N/A	N/A
February 24, 2021	1,597,774	6,189	N/A	N/A
February 23, 2021	1,591,585	6,654	N/A	N/A
February 22, 2021	1,584,931	6,146	N/A	N/A
February 21, 2021	1,578,785	6,610	N/A	N/A
February 20, 2021	1,572,175	7,692	N/A	N/A
February 19, 2021	1,564,483	8,710	N/A	N/A
February 18, 2021	1,555,773	6,794	N/A	N/A
February 17, 2021	1,548,979	6,092	N/A	N/A
February 16, 2021	1,542,887	6,753	N/A	N/A
February 15, 2021	1,536,134	6,365	N/A	N/A
February 14, 2021	1,529,769	8,316	N/A	N/A
February 13, 2021	1,521,453	8,763	N/A	N/A
February 12, 2021	1,512,690	8,404	N/A	N/A
February 11, 2021	1,504,286	10,099	N/A	N/A
February 10, 2021	1,494,187	7,101	N/A	N/A
February 9, 2021	1,487,086	7,866	N/A	N/A
February 8, 2021	1,479,220	8,448	N/A	N/A
February 7, 2021	1,470,772	10,025	N/A	N/A
February 6, 2021	1,460,747	11,252	N/A	N/A
February 5, 2021	1,449,495	8,777	N/A	N/A
February 4, 2021	1,440,718	7,414	N/A	N/A
February 3, 2021	1,433,304	5,925	N/A	N/A
February 2, 2021	1,427,379	8,215	N/A	N/A
February 1, 2021	1,419,164	8,508	N/A	N/A
January 31, 2021	1,410,656	10,793	N/A	N/A
January 30, 2021	1,399,863	12,804	N/A	N/A
January 29, 2021	1,387,059	12,579	N/A	N/A
January 28, 2021	1,374,480	13,398	N/A	N/A
January 27, 2021	1,361,082	11,028	N/A	N/A
January 26, 2021	1,350,054	11,064	N/A	N/A
January 25, 2021	1,338,990	12,003	N/A	N/A
